Trip Seconds	Trip Miles	Pickup Community Area	Dropoff Community Area	Company	Trip Start Day	Trip Start Month	Trip Start Hour
1402.0	5.5	6.0	32.0	28	1	1	0
1517.0	17.3	28.0	55.0	28	1	1	0
329.0	0.8	32.0	32.0	28	1	1	1
1283.0	9.7	28.0	77.0	28	1	1	1
346.0	0.9	6.0	3.0	28	1	1	1
759.0	2.7	28.0	7.0	28	1	1	1
415.0	1.6	7.0	6.0	28	1	1	1
925.0	6.3	3.0	8.0	28	1	1	1
210.0	0.5	3.0	77.0	28	1	1	1
276.0	0.9	3.0	77.0	28	1	1	2
1187.0	1.5	8.0	8.0	28	1	1	2
916.0	3.8	3.0	16.0	28	1	1	2
614.0	3.1	8.0	24.0	28	1	1	2
491.0	2.3	8.0	22.0	28	1	1	2
782.0	4.3	22.0	8.0	28	1	1	2
291.0	0.7	8.0	8.0	28	1	1	3
1623.0	16.6	76.0	8.0	28	1	1	9
581.0	3.8	32.0	7.0	28	1	1	15
444.0	2.0	2.0	1.0	28	1	1	16
292.0	0.8	32.0	32.0	28	1	1	16
635.0	1.5	32.0	8.0	28	1	1	16
877.0	8.3	3.0	33.0	28	1	1	17
1485.0	17.2	76.0	8.0	28	1	1	17
251.0	0.7	32.0	8.0	28	1	1	17
810.0	3.7	6.0	16.0	28	1	1	18
742.0	3.6	7.0	8.0	28	1	1	18
872.0	3.3	32.0	24.0	28	1	1	19
676.0	3.3	6.0	24.0	28	1	1	19
366.0	1.4	24.0	24.0	28	1	1	19
489.0	2.2	8.0	24.0	28	1	1	19
498.0	1.0	8.0	8.0	28	1	1	19
483.0	1.5	8.0	8.0	28	1	1	19
851.0	2.8	24.0	8.0	28	1	1	19
522.0	3.5	8.0	6.0	28	1	1	20
1427.0	16.3	76.0	8.0	28	1	1	20
415.0	1.6	8.0	8.0	28	1	1	20
937.0	6.4	28.0	6.0	28	1	1	20
304.0	1.1	32.0	8.0	28	1	1	21
661.0	2.5	32.0	24.0	28	1	1	21
251.0	1.3	28.0	32.0	28	1	1	22
352.0	1.1	32.0	32.0	28	1	1	22
467.0	1.4	28.0	8.0	28	1	1	22
567.0	5.8	28.0	16.0	28	1	1	23
1376.0	14.6	76.0	7.0	28	2	1	9
403.0	2.3	22.0	22.0	28	2	1	9
615.0	1.2	32.0	28.0	28	2	1	11
551.0	3.2	4.0	1.0	28	2	1	11
1565.0	15.7	41.0	77.0	28	2	1	11
268.0	0.6	32.0	8.0	28	2	1	12
3589.0	19.6	1.0	8.0	28	2	1	12
967.0	7.7	41.0	8.0	28	2	1	13
534.0	1.6	6.0	6.0	28	2	1	13
514.0	1.1	8.0	8.0	28	2	1	13
1847.0	13.9	76.0	6.0	28	2	1	13
411.0	1.3	6.0	6.0	28	2	1	14
2021.0	13.6	56.0	24.0	28	2	1	15
365.0	0.9	32.0	32.0	28	2	1	15
313.0	0.8	32.0	8.0	28	2	1	15
1294.0	8.0	41.0	8.0	28	2	1	15
2049.0	12.5	76.0	6.0	28	2	1	16
931.0	6.1	3.0	8.0	28	2	1	16
1480.0	9.6	28.0	77.0	28	2	1	17
954.0	7.7	41.0	32.0	28	2	1	17
958.0	5.6	32.0	22.0	28	2	1	18
720.0	3.8	8.0	6.0	28	2	1	18
1537.0	17.5	76.0	8.0	28	2	1	19
1081.0	5.5	32.0	6.0	28	2	1	19
437.0	3.1	28.0	24.0	28	2	1	20
521.0	1.9	6.0	5.0	28	2	1	20
528.0	1.7	8.0	28.0	28	2	1	20
625.0	2.6	28.0	7.0	28	2	1	20
837.0	1.2	32.0	32.0	28	2	1	21
575.0	3.2	3.0	14.0	28	2	1	21
374.0	1.0	28.0	8.0	28	2	1	21
414.0	1.7	28.0	8.0	28	2	1	22
1549.0	17.9	76.0	32.0	28	2	1	23
896.0	6.0	28.0	7.0	28	3	1	0
391.0	1.6	32.0	33.0	28	3	1	0
424.0	2.6	7.0	8.0	28	3	1	10
211.0	0.7	32.0	8.0	28	3	1	10
1366.0	17.0	76.0	32.0	28	3	1	10
369.0	0.8	32.0	8.0	28	3	1	11
487.0	0.8	32.0	8.0	28	3	1	11
606.0	2.0	21.0	22.0	28	3	1	11
560.0	1.1	32.0	32.0	28	3	1	11
217.0	0.5	41.0	41.0	28	3	1	11
897.0	6.4	8.0	39.0	28	3	1	12
745.0	2.6	28.0	33.0	28	3	1	12
426.0	1.1	32.0	8.0	28	3	1	12
281.0	0.8	8.0	32.0	28	3	1	13
656.0	1.3	32.0	8.0	28	3	1	13
309.0	1.7	33.0	32.0	28	3	1	13
723.0	6.7	41.0	32.0	28	3	1	13
632.0	6.8	8.0	77.0	28	3	1	13
444.0	0.9	8.0	8.0	28	3	1	14
285.0	0.9	32.0	8.0	28	3	1	14
1806.0	12.8	56.0	8.0	28	3	1	14
1018.0	9.8	41.0	7.0	28	3	1	16
597.0	1.9	32.0	7.0	28	3	1	16
849.0	1.2	8.0	8.0	28	3	1	17
414.0	0.7	8.0	8.0	28	3	1	17
643.0	1.0	8.0	8.0	28	3	1	17
1409.0	7.1	32.0	77.0	28	3	1	18
2078.0	15.2	76.0	7.0	28	3	1	18
2016.0	15.5	56.0	7.0	28	3	1	18
175.0	0.7	8.0	8.0	28	3	1	18
302.0	0.7	8.0	8.0	28	3	1	18
536.0	1.5	8.0	28.0	28	3	1	19
489.0	1.4	28.0	8.0	28	3	1	19
419.0	1.0	28.0	32.0	28	3	1	19
471.0	1.5	28.0	32.0	28	3	1	19
525.0	2.1	32.0	32.0	28	3	1	19
674.0	1.5	28.0	8.0	28	3	1	19
927.0	3.8	32.0	24.0	28	3	1	20
331.0	1.2	28.0	8.0	28	3	1	20
853.0	3.1	28.0	7.0	28	3	1	20
424.0	2.0	24.0	28.0	28	3	1	20
610.0	2.4	28.0	7.0	28	3	1	21
335.0	0.9	32.0	8.0	28	3	1	21
365.0	1.4	8.0	8.0	28	3	1	22
476.0	1.6	32.0	33.0	28	3	1	22
736.0	6.3	7.0	14.0	28	3	1	22
330.0	1.2	28.0	32.0	28	3	1	23
293.0	1.5	28.0	32.0	28	3	1	23
346.0	1.5	28.0	28.0	28	4	1	0
572.0	1.8	28.0	32.0	28	4	1	0
749.0	3.0	6.0	8.0	28	4	1	9
232.0	0.6	8.0	8.0	28	4	1	9
760.0	2.0	32.0	28.0	28	4	1	9
1025.0	3.8	8.0	24.0	28	4	1	9
631.0	1.5	28.0	8.0	28	4	1	10
389.0	0.7	28.0	32.0	28	4	1	10
814.0	1.4	28.0	8.0	28	4	1	10
395.0	1.1	32.0	8.0	28	4	1	10
