	0
Blue Ribbon Taxi Association Inc.	Blue Ribbon Taxi Association Inc.
Taxi Affiliation Services	Taxi Affiliation Services
Taxicab Insurance Agency, LLC	Taxicab Insurance Agency, LLC
Choice Taxi Association	Choice Taxi Association
Star North Management LLC	Star North Management LLC
Top Cab Affiliation	Top Cab Affiliation
Chicago Independents	Chicago Independents
KOAM Taxi Association	KOAM Taxi Association
1085 - 72312 N and W Cab Co	1085 - 72312 N and W Cab Co
Chicago Medallion Management	Chicago Medallion Management
Chicago Carriage Cab Corp	Chicago Carriage Cab Corp
Flash Cab	Flash Cab
Globe Taxi	Globe Taxi
Patriot Taxi Dba Peace Taxi Associat	Patriot Taxi Dba Peace Taxi Associat
City Service	City Service
24 Seven Taxi	24 Seven Taxi
Sun Taxi	Sun Taxi
Medallion Leasin	Medallion Leasin
Taxi Affiliation Service Yellow	Taxi Affiliation Service Yellow
Nova Taxi Affiliation Llc	Nova Taxi Affiliation Llc
Gold Coast Taxi	Gold Coast Taxi
Chicago Taxicab	Chicago Taxicab
Blue Diamond	Blue Diamond
Yellow Cab	Yellow Cab
312 Medallion Management Corp	312 Medallion Management Corp
Checker Taxi Affiliation	Checker Taxi Affiliation
5 Star Taxi	5 Star Taxi
Metro Jet Taxi A	Metro Jet Taxi A
Checker Taxi	Checker Taxi
6742 - 83735 Tasha ride inc	6742 - 83735 Tasha ride inc
Setare Inc	Setare Inc
American United Taxi Affiliation	American United Taxi Affiliation
1469 - 64126 Omar Jada	1469 - 64126 Omar Jada
American United	American United
6743 - 78771 Luhak Corp	6743 - 78771 Luhak Corp
Leonard Cab Co	Leonard Cab Co
4053 - 40193 Adwar H. Nikola	4053 - 40193 Adwar H. Nikola
3011 - 66308 JBL Cab Inc.	3011 - 66308 JBL Cab Inc.
4623 - 27290 Jay Kim	4623 - 27290 Jay Kim
3094 - 24059 G.L.B. Cab Co	3094 - 24059 G.L.B. Cab Co
2092 - 61288 Sbeih company	2092 - 61288 Sbeih company
2733 - 74600 Benny Jona	2733 - 74600 Benny Jona
6574 - Babylon Express Inc.	6574 - Babylon Express Inc.
3623 - 72222 Arrington Enterprises	3623 - 72222 Arrington Enterprises
Chicago Star Taxicab	Chicago Star Taxicab
3721 - Santamaria Express, Alvaro Santamaria	3721 - Santamaria Express, Alvaro Santamaria
5006 - 39261 Salifu Bawa	5006 - 39261 Salifu Bawa
5062 - 34841 Sam Mestas	5062 - 34841 Sam Mestas
5074 - 54002 Ahzmi Inc	5074 - 54002 Ahzmi Inc
3620 - 52292 David K. Cab Corp.	3620 - 52292 David K. Cab Corp.
5874 - 73628 Sergey Cab Corp.	5874 - 73628 Sergey Cab Corp.
3591 - 63480 Chuks Cab	3591 - 63480 Chuks Cab
Petani Cab Corp	Petani Cab Corp
U Taxicab	U Taxicab
3556 - 36214 RC Andrews Cab	3556 - 36214 RC Andrews Cab
